"Artista","Colaboracion"
"Princesa Alba","Kidd Voodoo"
"Princesa Alba","Gianluca"
"Princesa Alba","Akriila"
"Akriila","Roi"
"Akriila","FaceBrooklyn"
"Akriila","Gianluca"
"Akriila","Young Cister"
"Akriila","Princesa Alba"
"Akriila","Kidd Voodoo"
"Akriila","Bryartz"
"Akriila","Aqua VS"
"Akriila","Loyaltty"
"Akriila","Soufia"
"Akriila","Akatumami"
"Akriila","Harry Nach"
"Akriila","Saito Ape"
"Soulfia","Amikiraa"
"Soulfia","Akriila"
"Soulfia","Harry Nach"
"Soulfia","Kidd Voodoo"
"Soulfia","Loyaltty"
"Soulfia","Martinwhite"
"Soulfia","Drefquila"
"Soulfia","Polima Westcoast"
"Soulfia","Pablo Feliu"
"Soulfia","KYA"
"Soulfia","Shirel"
"Soulfia","Ceaese"
"Akatumami","Akriila"
"Akatumami","Lizz"
"Akatumami","Loyaltty"
"Akatumami","KYA"
"Akatumami","KUINA"
"Akatumami","Nass G"
"Akatumami","Viangogh"
"Akatumami","Amikiraa"
"Akatumami","Saito Ape"
"Amikiraa","Saito Ape"
"Amikiraa","Akriila"
"Amikiraa","Akatumami"
"Amikiraa","Nass G"
"KYA","Akatumami"
"KYA","Nass G"
"KYA","Lizz"
"KYA","Soufia"
"KYA","Loyaltty"
"KYA","Pablo Feliu"
"KYA","Drefquila"
"KYA","Vlntna B"
"KYA","Lewis Somes"
"KYA","Denise Rosenthal"
"KYA","Movimiento Original"
"KYA","Anita Tijoux"
"Loyaltty","Kidd Voodoo"
"Loyaltty","Akriila"
"Loyaltty","Bryartz"
"Loyaltty","Martinwhite"
"Loyaltty","Soufia"
"Loyaltty","Drefquila"
"Loyaltty","Lizz"
"Loyaltty","KUINA"
"Loyaltty","Akatumami"
"Loyaltty","KYA"
"Loyaltty","Shirel"
"Loyaltty","Denise Rosenthal"
"Loyaltty","Lewis Somes"
"Loyaltty","Flor de Rap"
"Loyaltty","King Savagge"
"Loyaltty","Ithan Ny"
"Loyaltty","Pablito Pesadilla"
"Loyaltty","Gale Gale"
"Loyaltty","Xavi Jordan"
"Paloma Mami","Polima Westcoast"
"Paloma Mami","King Savagge"
"Paloma Mami","Ithan Ny"
"Paloma Mami","Pablito Pesadilla"
"Paloma Mami","Marcianeke"
"Paloma Mami","Pailita"
"Paloma Mami","Ak4:20"
"Paloma Mami","El Jordan 23"
"Katteyes","Kidd Voodoo"
"Katteyes","Xavi Jordan"
"Katteyes","Pailita"
"Katteyes","Marcianeke"
"Katteyes","Standley"
"Flor de Rap","Aqua VS"
"Flor de Rap","Loyaltty"
"Flor de Rap","Lewis Somes"
"Flor de Rap","Denise Rosenthal"
"Flor de Rap","Utopiko"
"Flor de Rap","Blue Mary"
"Flor de Rap","Movimiento Original"
"Flor de Rap","Anita Tijoux"
"Flor de Rap","Pablo Chill-e"
"Flor de Rap","King Savagge"
"Flor de Rap","Marcianeke"
"Flor de Rap","Pailita"
"KUINA","Vlntna B"
"KUINA","Lizz"
"KUINA","Polima Westcoast"
"KUINA","Loyaltty"
"KUINA","Harry Nach"
"KUINA","Roi"
"KUINA","Saito Ape"
"KUINA","Akatumami"
"KUINA","Viangogh"
"Anita Tijoux","KYA"
"Anita Tijoux","Flor de Rap"
"Anita Tijoux","Movimiento Original"
"Anita Tijoux","Pablo Chill-e"
"Blue Mary","Flor de Rap"
"Blue Mary","Polima Westcoast"
"Blue Mary","Tomasa del Real"
"Tomasa del Real","Blue Mary"
"Tomasa del Real","Nass G"
"Tomasa del Real","Lizz"
"Tomasa del Real","Ceaese"
"Lizz","Tomasa del Real"
"Lizz","Utopiko"
"Lizz","Akatumami"
"Lizz","KUINA"
"Lizz","Loyaltty"
"Lizz","KYA"
"Shirel","Vlntna B"
"Shirel","Nass G"
"Shirel","Soufia"
"Shirel","Loyaltty"
"Shirel","Denise Rosenthal"
"Shirel","Polima Westcoast"
"Aura BAE","Ceaese"
"Aura BAE","Utopiko"
"Aura BAE","Viangogh"
"Aura BAE","Saito Ape"
"Aura BAE","Roi"
"Aura BAE","Nass G"
"Fran Maira","Beast"
"Kidd Voodoo","Katteyes"
"Kidd Voodoo","Loyaltty"
"Kidd Voodoo","Soufia"
"Kidd Voodoo","Akriila"
"Kidd Voodoo","Princesa Alba"
"Gianluca","Akriila"
"Gianluca","Princesa Alba"
"FaceBrooklyn","Akriila"
"FaceBrooklyn","Akatumami"
"Young Cister","Akriila"
"Aqua VS","Flor de Rap"
"Aqua VS","Akriila"
"Bryartz","Loyaltty"
"Bryartz","Akriila"
"Roi","KUINA"
"Roi","Akriila"
"Roi","Aura BAE"
"Harry Nach","Soufia"
"Harry Nach","Akriila"
"Harry Nach","KUINA"
"Saito Ape","KUINA"
"Saito Ape","Akriila"
"Saito Ape","Aura BAE"
"Saito Ape","Akatumami"
"Saito Ape","Amikiraa"
"Ceaese","Tomasa del Real"
"Ceaese","Aura BAE"
"Ceaese","Soufia"
"Martinwhite","Loyaltty"
"Martinwhite","Soufia"
"Drefquila","Loyaltty"
"Drefquila","KYA"
"Drefquila","Soufia"
"Pablo Feliu","KYA"
"Pablo Feliu","Soufia"
"Polima Westcoast","Blue Mary"
"Polima Westcoast","Shirel"
"Polima Westcoast","Soufia"
"Polima Westcoast","Paloma Mami"
"Polima Westcoast","KUINA"
"Viangogh","Akatumami"
"Viangogh","KUINA"
"Viangogh","Aura BAE"
"Nass G","KYA"
"Nass G","Shirel"
"Nass G","Tomasa del Real"
"Nass G","Aura BAE"
"Nass G","Akatumami"
"Nass G","Amikiraa"
"Vlntna B","Shirel"
"Vlntna B","KYA"
"Vlntna B","KUINA"
"Lewis Somes","Flor de Rap"
"Lewis Somes","KYA"
"Lewis Somes","loyaltty"
"Denise Rosenthal","Flor de Rap"
"Denise Rosenthal","KYA"
"Denise Rosenthal","Shirel"
"Denise Rosenthal","Loyaltty"
"Xavi Jordan","Katteyes"
"Xavi Jordan","Loyaltty"
"Movimiento Original","Anita Tijoux"
"Movimiento Original","Flor de Rap"
"Movimiento Original","KYA"
"Utopiko","Flor de Rap"
"Utopiko","Lizz"
"Utopiko","Aura BAE"
"Pablito Pesadilla","Paloma Mami"
"Pablito Pesadilla","Loyaltty"
"Ithan Ny","Loyaltty"
"Ithan Ny","Paloma Mami"
"King Savagge","Flor de Rap"
"King Savagge","Loyaltty"
"King Savagge","Paloma Mami"
"Pailita","Paloma Mami"
"Pailita","Flor de Rap"
"Pailita","Katteyes"
"Marcianeke","Paloma Mami"
"Marcianeke","Flor de Rap"
"Marcianeke","Katteyes"
"Pablo Chill-e","Flor de Rap"
"Pablo Chill-e","Anita Tijoux"
"Standley","Katteyes"
"El Jordan 23","Paloma Mami"
"Galee Galee","Loyaltty"
"Ak4:20","Paloma Mami"
